Review_ID,Sort Filter,Title,Review Text,Date,Rating,Reviewer Name,Source,Sentiment,Sentiment Category
R000013,Newest,Great laptop,I love the displays its bright and beautiful. Quickly responsibe and doesnt overheat,2025-01-23,4,Arthur,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000014,Newest,Absolutely great for travel!,"As a person looking for battery longevity, this laptop quickly came to the top of my list. I do not use the laptop for a solid 8 hours -- it's not a work PC. However, I do use it on and off throughout the day and for mixed purposes (email, web browsing, watching videos). I have been able to go up to 3 days without recharging depending on my usage. When not in use, the laptop is in sleep mode - not shut down - so that I can open it back up and resume use. The battery consumption in sleep mode is extremely efficient. During a trip, the laptop was in sleep mode for nearly 20 hours before I opened it up again to use. The available battery life lost was about 2%. The screen, though not OLED, is also really good, providing ample brightness. The audio quality also sounds really good, though not as good as a current MacBook Pro. Some other non-essential but nice-to-have items like cases, screen protectors for the touchscreen, and keyboard covers are also available from various retailers, making it easier to keep scratch and dirt free. Once again, very similar to MacBooks. The only downside may be software compatibility. Definitely do your research and make sure the software you want to run will work on Windows-on-ARM CPUs like the Snapdragon X Plus and X Elite. If you need more SSD space, it is easily upgradable for those who are tech savvy. Directions on how to create a backup image (or recovery media) and to install a new SSD are readily available from the Microsoft website (https://learn.microsoft.com/en-us/surface/surface-ssd-removal-guide). Best Buy also sells a WD SN770 2TB 2230 SSD that fits nicely in this laptop and is the one I used to replace the 512GB SSD the laptop came with. If battery life is essential and CPU compatibility isn't an issue, the Surface Laptop 7 offers great value for your money. The value is even greater when the laptop is on sale (such as at the time of the writing of this review). Overall, I'm very happy and impressed with this ARM PC. About the attached image: Image shows the laptop with a black protective case, glass screen protector, and keyboard protector. Not essential, but nice to have on a PC intended for traveling.",2025-01-20,5,fakecode,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000015,Newest,Top Laptop Around,"Repeat consumer, I had a previous model of the Microsoft Surface and had to upgrade to this current model. It is one of the best laptops around, the color is nice and sleek as well.",2025-01-17,5,Enrique,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000016,Newest,MICROSOFT OUGHT TO BE ASHAMED OF THEMSELVES!,"It's a beautiful piece of trash...It looks sleek and works well for a couple months. Then a barrage of issues come up - freezing, not maintaining connections with printer or iphone, losing files (which occasionally resurface). New windows pop up without being cued. It multiplies files - sometimes I've ended up with 5 copies of the same file. The battery loses charge quickly. Every day it does a new trick. This is the WORST computer I have ever owned. You ask if I'd recommend this item? Well, duh!",2025-01-14,1,FemmeDeMaison,BestBuy Canada,Negative,['Product Issues (Neg)']
R000017,Newest,Grammies laptop,I love my new laptop. Easy to use and very sleek. My screen is touchy though.,2025-01-10,5,GrandmaB,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000018,Newest,Solid Windows Laptop,"I was needing a reliable Windows laptop that provided strong performance and solid battery life. This laptop definitely met those needs. Build quality is excellent, display is very nice. I'm easily getting 8+ hrs of use on a charge, and running most productivity apps I use on a daily basis is no problem for the laptop. I did run into some issues with the pre-installed OneDrive app...due to this computer having an ARM processor rather than x86. Overall, very pleased.",2025-01-03,4,Bwmson,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000019,Newest,Amazing Laptops from Microsoft.,"Buy these off the shelf for use in business, these PC Laptop's just work. Very impressed with new chips and memory they are working great. Will continue to buy them as is and put them into circulation with employees.",2025-01-01,5,taylordp,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000020,Newest,Microsoft surface laptop 7th gen,Best laptop ever 100% recommend graphics are 10/10,2024-12-27,5,Jonathan,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000021,Highest Rating,"Rock Solid Performance, Features, & Build Quality","Snapdragon? Whats this? If you can catch this On Sale, Its A Steal. This is probably one of the best made 13+ inch laptops on the market, for Windows. The battery life is more on par with a cell phone than a laptop. You can easily get through a day without packing a bulky charger in your bag. The screen is super color accurate for editing Photos or Video. Standby time? You dont have to worry about this little guy, you could probably have this in Sleep Mode for a week, but who could keep their hand off this fantastic device that long? Funny how when you have a device you can use all day, and have it be so portable, you find how much more you can get done. Instead of like traditional Intel and AMD units that turn into mini George Foreman grills after less than and hour, and that you do not want to use very long, making you run around looking for a power adapter after a way shorter time than you expected. If you need a Windows device that is solid all around, this Surface Laptop paired with this new Snapdragon Chipset, is plainly, awesome.",2024-12-23,5,SteveU,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000022,Highest Rating,Microsoft knocked it out of the park!,"I have used a lot of laptops over the years and this laptop has ticked almost every single box. Here is a breakdown on my thoughts. Screen - Absolutely stunning for an IPS. Great color reproduction, great brightness, no screen bleed, and a fast 120hz refresh rate. I daily an OLED monitor, and yes they superior in a lot of ways, but this is still a great IPS monitor. Added bonus of not having to worry about burn in. Response time is okay, and I don't use the touch screen at all to be honest. Keyboard & Trackpad - Finally a nice haptic touchpad on a Windows laptop, thank you Microsoft. It is just as good if not better than my wife's MacBook Air M2. The keyboard is good as well. Comfortable to type on, backlighting is pleasant, and good travel distance. Chassis - Nice premium material. Feels great in the hands. Decent port selections with 1 USB A and 2 USB C 4.0. Performance - After initial setup and updates, I have notice zero issues or hiccups. Day to day tasks run smooth, and performance is more than enough for the average user. 16gb is nice to have on the base model instead of 8gb on a lot of other laptops. I upgraded the SSD with a 1tb Corsair MP 600 Mini. It has lower power consumption than the SanDisk/WD SN740 these come with. It also has faster read/write speeds but the average user will never notice. Battery life - This thing is excellent. I am charging my laptop about once a week. The idle drain on the battery is minimal at best. This is where I have notice most of the gains with this CPU. I can pick it up 3 days later and I have only lost 4-6% battery. You can't do that with an x86 CPU. I know Intel's Lunar Lake has made great strides in battery life but I still feel like this is superior. Compatibility - This is the only area I truly can knock the laptop. Yes, it is true that there are programs and games that are not compatible with this architecture. I do play a lot of games and my wife likes to photo edit. Adobe has been make strides in app compatibility and quite a bit of their suite now has an arm app. There will be a few professional apps that may never get an arm port and that's alright if you have access to another PC/MAC or you temper your expectations. As a gamer instead of just being mad that certain games don't work, I try and find what does and try them out. I am a huge Age of Empires player and fortunately all of the new Definitive Editions for the older games are compatible. www.worksonwoa.com - is a great site to check for games/apps that you may be interested in using on the laptop and I recommend you check it out before you purchase this to know what you might be missing out on. Overall - I think this is a great laptop. It is finally a MacBook Air for those of us that like or must use windows. Great chassis, great screen, great keyboard, great trackpad, amazing battery life, great performance. I know as Microsoft embraces ARM more, we will see greater compatibility for a lot of apps out there. 10/10 would recommend for most casual users, and tech nerds like me that understand the compatibility limitations on ARM at this point in time.",2024-12-15,5,ShovelGuy,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000023,Highest Rating,Slim but POWERFUL!,Great performance in a slim package! More than capable at anything I throw at it!,2024-12-12,5,TGMF,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000024,Highest Rating,Surface laptop 7th,The best of the best in laptop world. Better alot then macbook,2024-12-06,5,Hoanghinh,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000025,Highest Rating,Windows microsoft,"Good quality product, easy to use for every day living,",2024-11-26,5,Sweetie318,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000026,Highest Rating,Microsoft surface laptop arm based,Great laptop for the money. Screen is a little on the small side but overall good,2024-10-28,5,nickG,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000027,Highest Rating,Loving it!,"I wanted a light and portable laptop do to some work on the go, and I was doubtful about the snapdragon processor, but I tried the machine in store, and it was fantastic. I thought I would have issues with heavier workloads, but it went through without a problem. Like: HUGE battery life. I used it for 3 days, and I forgot to charge it, and there was not problem at all! It just kept going. Totally you can do light gamming if the game runs. Totally not for gamers. I have other laptops, and this one feels snappy, faster and responsive compared to them. The trackpad and keyboard is fantastic, the build impressive, I totally love it. Totally feels premium and have had no hardware issue. The screen is beautiful, and I am just using it for everything when I am out home. Dislike: Some small glitches with some x86 programs, but they are totally aesthetic and fix after a while.",2024-09-20,5,alfa33333,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000028,Highest Rating,Nancy M Review,"I brought the Microsoft Surface Laptop Copilot 13.8"". I love the size, look and feel. The price was just right, and Best Buy helped me with getting everything I needed. The screen quality, the touch screen is great, its light weight, the brightness and especially the battery life, is just want I needed. Its easy to use and a great value for your money.",2024-09-16,5,NancyM,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000029,Lowest Rating,Will not connect to printer.,Cannot print from laptop. Had a problem connecting to my one year old HP printer. MS support says that my new ARM based Surface is not compatible with HP printer. Now I am stuck with a computer that is somewhat worthless to me other than surfing. I print a lot of documents for my home based business.,2024-11-19,1,EricB,BestBuy Canada,Negative,['Product Issues (Neg)']
R000030,Lowest Rating,NOT GOOD AT ALL BECAUSE INCOMPATIBILITY,I LOVE THE CONCEPT. But Please be advised this is not a normal “windows” laptop because of these mobile proccesors. I sold my MacBook Pro because I need a Windows laptop normally for the open system that they normally offer but I ended up with a worst machine in that case scenario. PLEASE MAKE THE SAME COMPUTER WITH NORMAL COMPATIBILITY AND I’LL BUY IT. The design is great don’t ever change that part .,2024-11-09,2,Jayvi,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000031,Lowest Rating,Nice but not perfect,"Nice but not perfect It has had several glitches already such as keyboard not working, turning off/freezing up with a black screen. I’ve only had this computer for a month. Not used daily, but used regularly with no major programs running. The aesthetic is nice",2024-08-19,3,GabrielleF,BestBuy Canada,Negative,['Product Issues (Neg)']
R000032,Lowest Rating,Start up is annoying,Beautiful labtop but starting it up is a bit buggy,2024-12-23,4,YsifredoT,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000033,Lowest Rating,"Overall 4 out of 5, for now","I bought it 2 months ago, and it works pretty well. Battery could be better and that's something that I did not have high expectations about before I purchased it. display is very nice, and the design is very similar to the one from MacBook—minimalistic with solid foundation. Touchscreen is very responsive.",2024-11-26,4,RaXA,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000034,Lowest Rating,College,I think the there’s not enough for the price other than that I love it,2024-09-01,4,EdgarG,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000035,Lowest Rating,Works Well,Works well and has fast load times. I am quite impressed.,2024-08-23,4,AuzzieB,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000036,Lowest Rating,Microsoft- surface-laptop-copilot,"Microsoft laptop is an excellent investment. It combines style, performance, and convenience in a single package, making it suitable for professionals, students, and casual users alike. Highly recommended for anyone in the market for a reliable and high-performing laptop.",2024-07-26,4,JeraldyJ,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000037,Most Relevant,Microsoft Upgrade Significant Savings,I was able to purchase on the last day of the Florida Sales Tax Holiday; and then have it shipped to my home within a few days. This replaces a nine year old Surface Pro3 i7 8GB 512GB which had recently encountered failures of both the Bluetooth and WiFi hardware. The speed and battery life of this replacement far exceeds those aspects of the former; at 57% of the price.,2024-08-24,5,RonB,BestBuy Canada,Negative,['Product Issues (Neg)']
R000038,Most Relevant,Copilot+,"I didn’t really care for the copilot+ features as much as I wanted to see how the performance of the new snapdragon cpu. Honestly, I’m impressed from where they were a few years ago in term of windows arm machines. I’m hoping snapdragon can keep this up so we will have more arm based laptops in the future.",2024-06-25,5,Kiyotaka,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000039,Most Relevant,Microsoft Surface Laptop,"This is my 2nd generation of this computer. Prior model was purchased about 8 years ago, and still working. Keyboard was starting to become troublesome after the years of use, but satisfied enough with the model's performance and reliability to purchase this model again.",2024-08-30,5,RayB,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000040,Most Relevant,Best Laptop For College and Work,I recently purchased this laptop because I started college and I have no regrets. This laptop is fast and sleek. I’m able to get work done quickly and with the help of copilot I’ve been able to improve my productivity. I recommend this laptop to anyone starting college.,2024-08-23,5,JosueH,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000041,Most Relevant,Great Laptop for college students,"The laptop is exactly what I needed for college. It is small and compact enough to fit in any school bag. It works great in class and is very light to pick up. It easily handles all of my daily and school uses. (Excel, work, school classes, and even some gaming).",2024-09-01,5,JoeF,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000042,Most Relevant,Great for multitasking/battery,Great laptop. I tend to tons of tabs open at once while also using my programs for school and it hasn’t slowed down at all. Battery has been great and have been able to go without a charge all day. Definitely a good device,2024-07-15,5,Jordan,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000043,Most Relevant,A worthy upgrade,"Fast, snappy and sleek. Upgraded from an SL3 and this is the machine I’ve wanted. Build is solid and more refined from previous iterations. The new chips make this machine faster and snappier.",2024-08-23,5,Kyle,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000044,Most Relevant,My first Microsoft Laptop,Really sleek computer - It pulled in all of my other data from other computers for a seamless transition. Good sound and good visuals so far.,2024-08-09,5,JSpoon777,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000045,Most Relevant,Great computer,I'm a big fan of the surface laptops and this already seems like a big upgrade. Just opened the box and I'm excited to put it to use.,2024-06-19,5,ChristianG,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000046,Most Relevant,Excellent product,This computer works very well. It has plenty of memory and works quickly. It is very easy to use. Highly recommended!,2024-07-19,5,MBPelicans,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000047,Most Relevant,Been a good replacement laptop,Does what we have asked of it so far . It has been plugged in the entire time so no experience with battery life.,2024-08-16,5,JamesA,BestBuy Canada,Negative,['Product Issues (Neg)']
R000048,Most Relevant,Great Choice,"Great upgrade to my precious surface. Lightweight, battery holds great. Best Buy delivered very quickly.",2024-08-19,5,TierraS,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000049,Oldest,Fire,Love it! The copilot is worth the wait. What are you waiting on? Get it now,2024-07-09,5,Lola,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000050,Oldest,Great!,Great laptop for small things like homework as well as I’ve been able to play games on it!,2024-07-12,5,KaylebL,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000051,Oldest,Surface Laptop,"It has a lot of cool bells & whistles, but comes with a huge learning curve.",2024-07-16,4,RossJB,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000052,Oldest,Great buy,Excellent laptop. My brother is using this and he is very happy with it,2024-07-18,5,AJain,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000053,Oldest,Great for School,We bought the Surface for our grandson. He starts High School and he loves how easy it is to use.,2024-07-19,5,JeffS,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000054,Oldest,Ddd,Excellent product for my Daughter on her way to college,2024-08-16,5,1234,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000055,Oldest,Great school laptop,Great for school and does everything you need it to.,2024-08-17,5,AdolfoA,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000056,Oldest,Freshman Approved!,Great Laptop for my college Freshman. Lightweight and great processor.,2024-08-23,5,TracyM,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000057,Oldest,Good laptop,It's honestly a really nice laptop. I got it in the color black and its just so beautiful.,2024-08-28,5,CosmoD,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
R000058,Oldest,Laptop,Work great and help alot for school but it small and can take any where,2024-08-30,5,EpigmenioO,BestBuy Canada,Positive,['Good Design & Quality (Pos)']
