Review_ID,Sort Filter,Title,Review Text,Date,Rating,Reviewer Name,Source
R000015,Newest,Top Laptop Around,"[This review was collected as part of a promotion.] Repeat consumer, I had a previous model of the Microsoft Surface and had to upgrade to this current model. It is one of the best laptops around, the color is nice and sleek as well.","- January 17, 2025",5,Enrique,BestBuy Canada
R000016,Newest,MICROSOFT OUGHT TO BE ASHAMED OF THEMSELVES!,"[This review was collected as part of a promotion.] It's a beautiful piece of trash...It looks sleek and works well for a couple months. Then a barrage of issues come up - freezing, not maintaining connections with printer or iphone, losing files (which occasionally resurface). New windows pop up without being cued. It multiplies files - sometimes I've ended up with 5 copies of the same file. The battery loses charge quickly. Every day it does a new trick. This is the WORST computer I have ever owned. You ask if I'd recommend this item? Well, duh!","- January 14, 2025",1,FemmeDeMaison,BestBuy Canada
R000017,Newest,Grammies laptop,[This review was collected as part of a promotion.] I love my new laptop. Easy to use and very sleek. My screen is touchy though.,"- January 10, 2025",5,GrandmaB,BestBuy Canada
R000018,Newest,Solid Windows Laptop,"[This review was collected as part of a promotion.] I was needing a reliable Windows laptop that provided strong performance and solid battery life. This laptop definitely met those needs. Build quality is excellent, display is very nice. I'm easily getting 8+ hrs of use on a charge, and running most productivity apps I use on a daily basis is no problem for the laptop. I did run into some issues with the pre-installed OneDrive app...due to this computer having an ARM processor rather than x86. Overall, very pleased.","- January 3, 2025",4,Bwmson,BestBuy Canada
R000019,Newest,Amazing Laptops from Microsoft.,"[This review was collected as part of a promotion.] Buy these off the shelf for use in business, these PC Laptop's just work. Very impressed with new chips and memory they are working great. Will continue to buy them as is and put them into circulation with employees.","- January 1, 2025",5,taylordp,BestBuy Canada
R000020,Newest,Microsoft surface laptop 7th gen,[This review was collected as part of a promotion.] Best laptop ever 100% recommend graphics are 10/10,"- December 27, 2024",5,Jonathan,BestBuy Canada
R000021,Highest Rating,"Rock Solid Performance, Features, & Build Quality","[This review was collected as part of a promotion.] Snapdragon? Whats this? If you can catch this On Sale, Its A Steal. This is probably one of the best made 13+ inch laptops on the market, for Windows. The battery life is more on par with a cell phone than a laptop. You can easily get through a day without packing a bulky charger in your bag. The screen is super color accurate for editing Photos or Video. Standby time? You dont have to worry about this little guy, you could probably have this in Sleep Mode for a week, but who could keep their hand off this fantastic device that long? Funny how when you have a device you can use all day, and have it be so portable, you find how much more you can get done. Instead of like traditional Intel and AMD units that turn into mini George Foreman grills after less than and hour, and that you do not want to use very long, making you run around looking for a power adapter after a way shorter time than you expected. If you need a Windows device that is solid all around, this Surface Laptop paired with this new Snapdragon Chipset, is plainly, awesome.","- December 23, 2024",5,SteveU,BestBuy Canada
R000022,Highest Rating,Microsoft knocked it out of the park!,"[This review was collected as part of a promotion.] I have used a lot of laptops over the years and this laptop has ticked almost every single box. Here is a breakdown on my thoughts. Screen - Absolutely stunning for an IPS. Great color reproduction, great brightness, no screen bleed, and a fast 120hz refresh rate. I daily an OLED monitor, and yes they superior in a lot of ways, but this is still a great IPS monitor. Added bonus of not having to worry about burn in. Response time is okay, and I don't use the touch screen at all to be honest. Keyboard & Trackpad - Finally a nice haptic touchpad on a Windows laptop, thank you Microsoft. It is just as good if not better than my wife's MacBook Air M2. The keyboard is good as well. Comfortable to type on, backlighting is pleasant, and good travel distance. Chassis - Nice premium material. Feels great in the hands. Decent port selections with 1 USB A and 2 USB C 4.0. Performance - After initial setup and updates, I have notice zero issues or hiccups. Day to day tasks run smooth, and performance is more than enough for the average user. 16gb is nice to have on the base model instead of 8gb on a lot of other laptops. I upgraded the SSD with a 1tb Corsair MP 600 Mini. It has lower power consumption than the SanDisk/WD SN740 these come with. It also has faster read/write speeds but the average user will never notice. Battery life - This thing is excellent. I am charging my laptop about once a week. The idle drain on the battery is minimal at best. This is where I have notice most of the gains with this CPU. I can pick it up 3 days later and I have only lost 4-6% battery. You can't do that with an x86 CPU. I know Intel's Lunar Lake has made great strides in battery life but I still feel like this is superior. Compatibility - This is the only area I truly can knock the laptop. Yes, it is true that there are programs and games that are not compatible with this architecture. I do play a lot of games and my wife likes to photo edit. Adobe has been make strides in app compatibility and quite a bit of their suite now has an arm app. There will be a few professional apps that may never get an arm port and that's alright if you have access to another PC/MAC or you temper your expectations. As a gamer instead of just being mad that certain games don't work, I try and find what does and try them out. I am a huge Age of Empires player and fortunately all of the new Definitive Editions for the older games are compatible. www.worksonwoa.com - is a great site to check for games/apps that you may be interested in using on the laptop and I recommend you check it out before you purchase this to know what you might be missing out on. Overall - I think this is a great laptop. It is finally a MacBook Air for those of us that like or must use windows. Great chassis, great screen, great keyboard, great trackpad, amazing battery life, great performance. I know as Microsoft embraces ARM more, we will see greater compatibility for a lot of apps out there. 10/10 would recommend for most casual users, and tech nerds like me that understand the compatibility limitations on ARM at this point in time.","- December 15, 2024",5,ShovelGuy,BestBuy Canada
R000023,Highest Rating,Slim but POWERFUL!,[This review was collected as part of a promotion.] Great performance in a slim package! More than capable at anything I throw at it!,"- December 12, 2024",5,TGMF,BestBuy Canada
R000024,Highest Rating,Surface laptop 7th,[This review was collected as part of a promotion.] The best of the best in laptop world. Better alot then macbook,"- December 6, 2024",5,Hoanghinh,BestBuy Canada
R000025,Highest Rating,Windows microsoft,"[This review was collected as part of a promotion.] Good quality product, easy to use for every day living,","- November 26, 2024",5,Sweetie318,BestBuy Canada
R000026,Highest Rating,Microsoft surface laptop arm based,[This review was collected as part of a promotion.] Great laptop for the money. Screen is a little on the small side but overall good,"- October 28, 2024",5,nickG,BestBuy Canada
R000027,Highest Rating,Loving it!,"I wanted a light and portable laptop do to some work on the go, and I was doubtful about the snapdragon processor, but I tried the machine in store, and it was fantastic. I thought I would have issues with heavier workloads, but it went through without a problem. Like: HUGE battery life. I used it for 3 days, and I forgot to charge it, and there was not problem at all! It just kept going. Totally you can do light gamming if the game runs. Totally not for gamers. I have other laptops, and this one feels snappy, faster and responsive compared to them. The trackpad and keyboard is fantastic, the build impressive, I totally love it. Totally feels premium and have had no hardware issue. The screen is beautiful, and I am just using it for everything when I am out home. Dislike: Some small glitches with some x86 programs, but they are totally aesthetic and fix after a while.","- September 20, 2024",5,alfa33333,BestBuy Canada
R000028,Highest Rating,Nancy M Review,"[This review was collected as part of a promotion.] I brought the Microsoft Surface Laptop Copilot 13.8"". I love the size, look and feel. The price was just right, and Best Buy helped me with getting everything I needed. The screen quality, the touch screen is great, its light weight, the brightness and especially the battery life, is just want I needed. Its easy to use and a great value for your money.","- September 16, 2024",5,NancyM,BestBuy Canada
R000029,Lowest Rating,Will not connect to printer.,[This review was collected as part of a promotion.] Cannot print from laptop. Had a problem connecting to my one year old HP printer. MS support says that my new ARM based Surface is not compatible with HP printer. Now I am stuck with a computer that is somewhat worthless to me other than surfing. I print a lot of documents for my home based business.,"- November 19, 2024",1,EricB,BestBuy Canada
R000030,Lowest Rating,NOT GOOD AT ALL BECAUSE INCOMPATIBILITY,[This review was collected as part of a promotion.] I LOVE THE CONCEPT. But Please be advised this is not a normal “windows” laptop because of these mobile proccesors. I sold my MacBook Pro because I need a Windows laptop normally for the open system that they normally offer but I ended up with a worst machine in that case scenario. PLEASE MAKE THE SAME COMPUTER WITH NORMAL COMPATIBILITY AND I’LL BUY IT. The design is great don’t ever change that part .,"- November 9, 2024",2,Jayvi,BestBuy Canada
R000031,Lowest Rating,Nice but not perfect,"[This review was collected as part of a promotion.] Nice but not perfect It has had several glitches already such as keyboard not working, turning off/freezing up with a black screen. I’ve only had this computer for a month. Not used daily, but used regularly with no major programs running. The aesthetic is nice","- August 19, 2024",3,GabrielleF,BestBuy Canada
R000032,Lowest Rating,Start up is annoying,[This review was collected as part of a promotion.] Beautiful labtop but starting it up is a bit buggy,"- December 23, 2024",4,YsifredoT,BestBuy Canada
R000033,Lowest Rating,"Overall 4 out of 5, for now","[This review was collected as part of a promotion.] I bought it 2 months ago, and it works pretty well. Battery could be better and that's something that I did not have high expectations about before I purchased it. display is very nice, and the design is very similar to the one from MacBook—minimalistic with solid foundation. Touchscreen is very responsive.","- November 26, 2024",4,RaXA,BestBuy Canada
R000034,Lowest Rating,College,[This review was collected as part of a promotion.] I think the there’s not enough for the price other than that I love it,"- September 1, 2024",4,EdgarG,BestBuy Canada
R000035,Lowest Rating,Works Well,[This review was collected as part of a promotion.] Works well and has fast load times. I am quite impressed.,"- August 23, 2024",4,AuzzieB,BestBuy Canada
R000036,Lowest Rating,Microsoft- surface-laptop-copilot,"[This review was collected as part of a promotion.] Microsoft laptop is an excellent investment. It combines style, performance, and convenience in a single package, making it suitable for professionals, students, and casual users alike. Highly recommended for anyone in the market for a reliable and high-performing laptop.","- July 26, 2024",4,JeraldyJ,BestBuy Canada
R000037,Most Relevant,Microsoft Upgrade Significant Savings,[This review was collected as part of a promotion.] I was able to purchase on the last day of the Florida Sales Tax Holiday; and then have it shipped to my home within a few days. This replaces a nine year old Surface Pro3 i7 8GB 512GB which had recently encountered failures of both the Bluetooth and WiFi hardware. The speed and battery life of this replacement far exceeds those aspects of the former; at 57% of the price.,"- August 24, 2024",5,RonB,BestBuy Canada
R000038,Most Relevant,Copilot+,"[This review was collected as part of a promotion.] I didn’t really care for the copilot+ features as much as I wanted to see how the performance of the new snapdragon cpu. Honestly, I’m impressed from where they were a few years ago in term of windows arm machines. I’m hoping snapdragon can keep this up so we will have more arm based laptops in the future.","- June 25, 2024",5,Kiyotaka,BestBuy Canada
R000039,Most Relevant,Microsoft Surface Laptop,"[This review was collected as part of a promotion.] This is my 2nd generation of this computer. Prior model was purchased about 8 years ago, and still working. Keyboard was starting to become troublesome after the years of use, but satisfied enough with the model's performance and reliability to purchase this model again.","- August 30, 2024",5,RayB,BestBuy Canada
R000040,Most Relevant,Best Laptop For College and Work,[This review was collected as part of a promotion.] I recently purchased this laptop because I started college and I have no regrets. This laptop is fast and sleek. I’m able to get work done quickly and with the help of copilot I’ve been able to improve my productivity. I recommend this laptop to anyone starting college.,"- August 23, 2024",5,JosueH,BestBuy Canada
R000041,Most Relevant,Great Laptop for college students,"[This review was collected as part of a promotion.] The laptop is exactly what I needed for college. It is small and compact enough to fit in any school bag. It works great in class and is very light to pick up. It easily handles all of my daily and school uses. (Excel, work, school classes, and even some gaming).","- September 1, 2024",5,JoeF,BestBuy Canada
R000042,Most Relevant,Great for multitasking/battery,[This review was collected as part of a promotion.] Great laptop. I tend to tons of tabs open at once while also using my programs for school and it hasn’t slowed down at all. Battery has been great and have been able to go without a charge all day. Definitely a good device,"- July 15, 2024",5,Jordan,BestBuy Canada
R000043,Most Relevant,A worthy upgrade,"[This review was collected as part of a promotion.] Fast, snappy and sleek. Upgraded from an SL3 and this is the machine I’ve wanted. Build is solid and more refined from previous iterations. The new chips make this machine faster and snappier.","- August 23, 2024",5,Kyle,BestBuy Canada
R000044,Most Relevant,My first Microsoft Laptop,[This review was collected as part of a promotion.] Really sleek computer - It pulled in all of my other data from other computers for a seamless transition. Good sound and good visuals so far.,"- August 9, 2024",5,JSpoon777,BestBuy Canada
R000045,Most Relevant,Great computer,[This review was collected as part of a promotion.] I'm a big fan of the surface laptops and this already seems like a big upgrade. Just opened the box and I'm excited to put it to use.,"- June 19, 2024",5,ChristianG,BestBuy Canada
R000046,Most Relevant,Excellent product,[This review was collected as part of a promotion.] This computer works very well. It has plenty of memory and works quickly. It is very easy to use. Highly recommended!,"- July 19, 2024",5,MBPelicans,BestBuy Canada
R000047,Most Relevant,Been a good replacement laptop,[This review was collected as part of a promotion.] Does what we have asked of it so far . It has been plugged in the entire time so no experience with battery life.,"- August 16, 2024",5,JamesA,BestBuy Canada
R000048,Most Relevant,Great Choice,"[This review was collected as part of a promotion.] Great upgrade to my precious surface. Lightweight, battery holds great. Best Buy delivered very quickly.","- August 19, 2024",5,TierraS,BestBuy Canada
R000049,Oldest,Fire,[This review was collected as part of a promotion.] Love it! The copilot is worth the wait. What are you waiting on? Get it now,"- July 9, 2024",5,Lola,BestBuy Canada
R000050,Oldest,Great!,[This review was collected as part of a promotion.] Great laptop for small things like homework as well as I’ve been able to play games on it!,"- July 12, 2024",5,KaylebL,BestBuy Canada
R000051,Oldest,Surface Laptop,"[This review was collected as part of a promotion.] It has a lot of cool bells & whistles, but comes with a huge learning curve.","- July 16, 2024",4,RossJB,BestBuy Canada
R000052,Oldest,Great buy,[This review was collected as part of a promotion.] Excellent laptop. My brother is using this and he is very happy with it,"- July 18, 2024",5,AJain,BestBuy Canada
R000053,Oldest,Great for School,[This review was collected as part of a promotion.] We bought the Surface for our grandson. He starts High School and he loves how easy it is to use.,"- July 19, 2024",5,JeffS,BestBuy Canada
R000054,Oldest,Ddd,[This review was collected as part of a promotion.] Excellent product for my Daughter on her way to college,"- August 16, 2024",5,1234,BestBuy Canada
R000055,Oldest,Great school laptop,[This review was collected as part of a promotion.] Great for school and does everything you need it to.,"- August 17, 2024",5,AdolfoA,BestBuy Canada
R000056,Oldest,Freshman Approved!,[This review was collected as part of a promotion.] Great Laptop for my college Freshman. Lightweight and great processor.,"- August 23, 2024",5,TracyM,BestBuy Canada
R000057,Oldest,Good laptop,[This review was collected as part of a promotion.] It's honestly a really nice laptop. I got it in the color black and its just so beautiful.,"- August 28, 2024",5,CosmoD,BestBuy Canada
R000058,Oldest,Laptop,[This review was collected as part of a promotion.] Work great and help alot for school but it small and can take any where,"- August 30, 2024",5,EpigmenioO,BestBuy Canada
